*no comment,*no comment
Are you sure to cancel selected order?,Are you sure to cancel selected order?
Cancel Order,Cancel Order
Cancel Order Config Setting,Cancel Order Config Setting
Choose 'yes' to enable module.,Choose 'yes' to enable module.
Comment,Comment
Customer Email,Customer Email
Customer Name,Customer Name
Email address to receive notifications.,Email address to receive notifications.
Email Sender,Email Sender
Email Template,Email Template
Frontend Cancel Order # ,Frontend Cancel Order # 
Label for button 'cancel order',Label for button 'cancel order'
No,No
Notice note when customers click cancel orders.,Notice note when customers click cancel orders.
NOTICE: ,NOTICE: 
ORDER #,ORDER #
Order Status,Order Status
Thank you,Thank you
There is a system error. Please try again later.,There is a system error. Please try again later.
We can\'t find your order.,We can\'t find your order.
Why do you want to cancel this order?,Why do you want to cancel this order?
Yes,Yes
You are not permitted to cancel this order,You are not permitted to cancel this order
Your order canceled,Your order canceled
